SectionName,BedNum,lith,lithName,thickness,BedID,Note,PictureName,base,top
SL3.csv,217,0,mud,8,,,,46.91,46.99
SL3.csv,218,1,sand,1,,,,46.99,47
SL3.csv,219,0,mud,10,,,,47,47.1
SL3.csv,220,1,sand,5,,,,47.1,47.15
SL3.csv,221,0,mud,24,,,,47.15,47.39
SL3.csv,222,1,sand,4,4,,,47.39,47.43
SL3.csv,223,0,mud,6,,,,47.43,47.49
SL3.csv,224,1,sand,9,,,,47.49,47.58
SL3.csv,225,0,mud,27,,,,47.58,47.85
SL3.csv,226,1,sand,10,,,,47.85,47.95
SL3.csv,227,0,mud,19,,,,47.95,48.14
SL3.csv,228,1,sand,3,,,,48.14,48.17
SL3.csv,229,0,mud,23,,,,48.17,48.4
SL3.csv,230,1,sand,12,,,,48.4,48.52
SL3.csv,231,0,mud,54,,inclined,,48.52,49.06
SL3.csv,232,2,other,41,a6,lutite,,49.06,49.47
